Timestamp,Level,Context,Message
"2025-11-26 18:29:37.022","INFO","Init","Loaded Common module from: /Users/varunaggarwal/Documents/Code/Powershell/Generic/../Modules/Common/Common.psm1"
"2025-11-26 18:29:37.035","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 18:29:37.037","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Modules"
"2025-11-26 18:29:37.088","INFO","Ensure-Modules","Imported available module: ExchangeOnlineManagement"
"2025-11-26 18:29:37.091","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 18:29:37.091","INFO","Init","ExchangeOnlineManagement ensured/loaded."
"2025-11-26 18:29:37.094","INFO","Connect","Connecting to Exchange Online…"
"2025-11-26 18:29:46.150","INFO","Targets","Gathering targets…"
"2025-11-26 18:29:47.175","INFO","Targets","Total mailboxes: 2"
