Timestamp,Level,Context,Message
"2025-11-26 20:33:59.100","INFO","Init","Loaded Common module from: /Users/varunaggarwal/Documents/Code/Powershell/Generic/../Modules/Common/Common.psm1"
"2025-11-26 20:33:59.111","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 20:33:59.112","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Modules"
"2025-11-26 20:33:59.152","INFO","Ensure-Modules","Imported available module: ExchangeOnlineManagement"
"2025-11-26 20:33:59.155","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 20:33:59.155","INFO","Init","ExchangeOnlineManagement ensured/loaded."
"2025-11-26 20:33:59.156","INFO","Connect","Connecting to Exchange Online…"
"2025-11-26 20:34:05.281","INFO","Targets","Gathering targets…"
"2025-11-26 20:34:05.960","INFO","Targets","Total mailboxes: 18"
"2025-11-26 20:34:05.961","INFO","Progress","Using progress file: ./InboxSent-OldestNewest.csv.progress"
"2025-11-26 20:34:05.966","INFO","Progress","Loaded 18 processed mailboxes from progress file."
"2025-11-26 20:34:05.968","INFO","Progress","Remaining mailboxes: 0"
"2025-11-26 20:34:05.968","INFO","Output","Processing and streaming results to CSV…"
"2025-11-26 20:34:05.982","INFO","Output","Streaming complete."
