Timestamp,Level,Context,Message
"2025-11-26 20:25:24.648","INFO","Init","Loaded Common module from: /Users/varunaggarwal/Documents/Code/Powershell/Generic/../Modules/Common/Common.psm1"
"2025-11-26 20:25:24.658","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 20:25:24.659","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Modules"
"2025-11-26 20:25:24.701","INFO","Ensure-Modules","Imported available module: ExchangeOnlineManagement"
"2025-11-26 20:25:24.703","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 20:25:24.704","INFO","Init","ExchangeOnlineManagement ensured/loaded."
"2025-11-26 20:25:24.705","INFO","Connect","Connecting to Exchange Online…"
"2025-11-26 20:25:33.728","INFO","Targets","Gathering targets…"
"2025-11-26 20:25:34.292","INFO","Targets","Total mailboxes: 18"
"2025-11-26 20:25:34.293","INFO","Progress","Using progress file: ./InboxSent-OldestNewest.csv.progress"
"2025-11-26 20:25:34.296","INFO","Progress","Remaining mailboxes: 18"
"2025-11-26 20:25:34.297","INFO","Output","Initializing CSV: ./InboxSent-OldestNewest.csv"
"2025-11-26 20:25:34.302","INFO","Output","Processing and streaming results to CSV…"
"2025-11-26 20:25:42.817","INFO","Output","Streaming complete."
