Timestamp,Level,Context,Message
"2025-11-26 19:52:53.376","INFO","Init","Loaded Common module from: /Users/varunaggarwal/Documents/Code/Powershell/Generic/../Modules/Common/Common.psm1"
"2025-11-26 19:52:53.387","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 19:52:53.388","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Modules"
"2025-11-26 19:52:53.431","INFO","Ensure-Modules","Imported available module: ExchangeOnlineManagement"
"2025-11-26 19:52:53.434","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 19:52:53.434","INFO","Init","ExchangeOnlineManagement ensured/loaded."
"2025-11-26 19:52:53.435","INFO","Connect","Connecting to Exchange Online…"
"2025-11-26 19:52:59.989","INFO","Targets","Gathering targets…"
"2025-11-26 19:53:00.721","INFO","Targets","Total mailboxes: 18"
"2025-11-26 19:53:10.149","INFO","Output","Writing CSV: ./InboxSent-OldestNewest.csv"
"2025-11-26 19:53:10.153","INFO","Output","Done."
