Timestamp,Level,Context,Message
"2025-11-26 19:47:15.340","INFO","Init","Loaded Common module from: /Users/varunaggarwal/Documents/Code/Powershell/Generic/../Modules/Common/Common.psm1"
"2025-11-26 19:47:15.350","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 19:47:15.351","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Modules"
"2025-11-26 19:47:15.394","INFO","Ensure-Modules","Imported available module: ExchangeOnlineManagement"
"2025-11-26 19:47:15.397","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 19:47:15.397","INFO","Init","ExchangeOnlineManagement ensured/loaded."
"2025-11-26 19:47:15.400","INFO","Connect","Connecting to Exchange Online…"
"2025-11-26 19:47:22.651","INFO","Targets","Gathering targets…"
"2025-11-26 19:47:23.311","INFO","Targets","Total mailboxes: 17"
"2025-11-26 19:47:25.094","INFO","Output","Writing CSV: ./InboxSent-OldestNewest.csv"
"2025-11-26 19:47:25.096","INFO","Output","Done."
