Timestamp,Level,Context,Message
"2025-11-26 19:58:38.156","INFO","Init","Loaded Common module from: /Users/varunaggarwal/Documents/Code/Powershell/Generic/../Modules/Common/Common.psm1"
"2025-11-26 19:58:38.167","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 19:58:38.169","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Modules"
"2025-11-26 19:58:38.211","INFO","Ensure-Modules","Imported available module: ExchangeOnlineManagement"
"2025-11-26 19:58:38.214","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 19:58:38.214","INFO","Init","ExchangeOnlineManagement ensured/loaded."
"2025-11-26 19:58:38.215","INFO","Connect","Connecting to Exchange Online…"
"2025-11-26 19:58:44.637","INFO","Targets","Gathering targets…"
"2025-11-26 19:58:45.309","INFO","Targets","Total mailboxes: 18"
"2025-11-26 19:58:53.745","INFO","Output","Writing CSV: ./InboxSent-OldestNewest.csv"
"2025-11-26 19:58:53.749","INFO","Output","Done."
